"Observation
Year","Standard
Week","Pest
Value",MaxT(°C),MinT(°C),RH1(%),RH2(%),RF(mm),WS(kmph),SSH(hrs),EVP(mm)
1995,1,6,29.9,17.1,92.6,69,0,2.9,4.8,19.1
1995,2,0,26.3,19.6,94,69,8.2,3,3.3,19.9
1995,3,0,25.4,17.1,90.7,68,10.2,4.2,6.4,18.4
1995,4,2,27.5,17,93.7,70,0,4.1,7.4,17.1
1995,5,155,27.3,16.5,90.6,68,0,3,6.8,20
1995,6,215,27.6,17.6,89.6,67,0,3.6,8.7,20.6
1995,7,38,29.9,18,93.8,64,0,5.1,8.7,21.1
1995,8,126,30.2,19.8,93.1,62,0,6.4,9,22.2
1995,9,1065,30.3,19.1,92.7,62,0,5.6,9.3,24.4
1995,10,693,31.6,20.2,94.9,64,0,6,8.5,22.9
1995,11,63,31.6,20.5,89.5,62,0,5.9,9.2,23.8
1995,12,500,34.1,20.8,87.7,65,0,5.4,8.6,25.7
1995,13,110,33.4,20.5,88.9,60,0,6.7,8.6,28.4
1995,14,30,33.1,20.1,87.2,58,0,5.6,8.5,30.7
1995,15,0,33.2,20.9,87.1,55,0,5.9,9.7,32.8
1995,16,0,34.6,21.5,86.5,56,0,5.1,9.4,34.1
1995,17,0,35,22.5,83.9,58,0,5.3,8.7,35.2
1995,18,0,35.4,22.7,85.5,60,0,4.2,9.6,33.2
1995,19,2,34.8,23.4,88.4,55,16,3,9.9,33.3
1995,20,4,28.4,22.9,9.3,54,332,2.9,0.7,39.8
1995,21,0,34.3,25.6,85.9,59,0,2.1,7.7,46.4
1995,22,0,35.3,25.2,96.9,55,0,1.6,7.5,41.7
1995,23,8,36.2,27.1,88,57,0,2,2.9,42.3
1995,24,0,38,26.9,81,63,0,1.6,5.1,33.7
1995,25,174,33.6,24.7,88.7,67,24,1.8,4.6,37
1995,26,4,31.2,24.6,88,69,48,2,2,38.8
1995,27,0,34.1,26.1,86.3,72,5,1.7,5.6,35.3
1995,28,0,31.1,23.3,89.6,72,54,2.3,3.2,29.5
1995,29,78,28.6,22.1,92.9,73,155,1.7,0,27.5
1995,30,87,30.8,23.7,92,78,53,1.7,5,28.6
1995,31,90,32.6,24.9,88.7,76,40,2.1,4.5,28
1995,32,151,31.5,24.5,91.2,76,39,1.8,4,24.1
1995,33,430,32.8,24,88.1,73,37,1.9,6.6,28.2
1995,34,2347,30.1,23.8,92.3,78,68,2.1,2.8,23
1995,35,1053,30.5,24.2,89.2,76,56,2.5,2.7,24.9
1995,36,1213,30.2,24.1,88.9,75,17,3,6.5,25.6
1995,37,563,31.2,23.8,90.6,75,33,2.9,5.4,24.7
1995,38,458,30.3,22.9,93.3,76,100,2.1,4.2,23.9
1995,39,185,31.4,23.8,91.3,75,14,1.6,3.2,23.2
